8,7,7,9,9,11,11,7,8,5,7,9,5,9,7,6,10,6,10,91,10,10,6,6,6,8,7,7,9,9,9,10,5,7,7,10,8,9,10,8,5,5,9,6,10,10,6,7,8,10,7,7,7,11,8,9,11,6,8,9,5,7,5,7,6,11,9,5,8,9,10,7,11,7,7,6,5,8,10,9,5,7,10,8,10,7,9,7,8,5,10,11,7,7,8,9,7,11,9,7,10,8,8,7,5,9,11,5,6,7,10,8,7,8,8,11,8,7,5,9,6,7,9,9,5,10,5,11,5,6,8,7,7,8,9,8,9,7,8,10,9,8,7,11,9,8,9,10,7,8,11,10,7,8,9,8,9,5,8,6,6,10,8,9,10,11,11,10,11,10,5,5,8,11,11,6,8,11,10,7,10,6,10,11,7,10,6,5,9,11,10,9,5,9,6,9,8,8,7,9,7,9,6,11,8,10,11,11,9,7,8,10,8,11,10,10,10,10,9,8,8,9,7,6,9,9,5,5,5,8,8,9,8,5,9,6,10,8,7,10,11,10,6,8,9,91,9,11,11,11,9,11,10,10,9,9
6,6,7,7,7,5,5,5,5,9,7,11,9,7,11,10,9,7,9,8,10,5,10,5,8,5,10,6,11,9,9,11,11,9,11,9,9,11,8,7,8,10,7,7,8,10,7,10,8,7,7,5,7,11,5,10,10,7,9,6,9,7,8,6,7,11,11,8,5,10,10,9,5,6,5,7,8,9,6,6,8,6,7,8,9,9,7,9,9,6,9,7,7,11,9,11,6,7,5,7,8,11,5,11,7,10,9,9,8,5,8,11,10,9,6,8,8,91,8,9,9,5,10,6,9,11,11,10,8,6,7,91,11,9,5,9,9,10,11,10,8,8,9,7,10,7,9,8,11,8,9,9,11,9,9,10,11,8,8,10,11,6,7,10,11,9,11,5,6,9,8,8,11,9,10,11,8,11,11,9,10,11,11,8,8,5,5,8,9,11,9,9,10,8,7,7,9,6,9,7,10,8,9,7,10,8,7,5,10,10,10,7,8,10,9,7,8,8,5,9,11,9,11,7,8,10,8,6,5,5,7,9,7,6,8,10,10,11,10,8,9,91,10,7,9,7,9,8,8,11,11,10,11,11,10,6
9,6,10,8,9,10,9,10,10,5,8,7,9,7,11,8,9,9,9,5,8,8,9,11,11,7,8,7,7,5,8,9,5,10,6,7,7,8,5,8,5,6,9,5,7,10,11,11,10,7,7,10,91,11,10,6,9,11,8,6,5,5,8,8,8,9,8,6,5,7,10,10,8,8,9,6,10,10,8,10,8,9,10,10,10,91,11,5,8,11,11,7,9,9,5,6,9,10,8,7,9,6,5,11,8,8,7,9,8,5,11,6,10,8,10,11,10,5,8,8,5,10,9,7,9,8,9,8,5,11,6,5,7,8,11,9,8,10,8,5,8,9,8,11,5,8,7,7,91,10,11,9,6,7,7,10,7,7,7,9,7,11,8,5,5,10,10,11,10,10,10,7,5,7,11,9,8,8,8,11,8,8,7,6,8,7,11,5,5,11,8,6,7,11,11,8,8,10,7,6,10,10,9,8,9,10,7,9,9,9,11,10,10,11,8,9,8,9,6,7,7,6,9,5,8,9,10,11,8,8,8,11,8,5,11,91,10,5,9,8,9,91,8,11,11,10,9,11,7,9,11,9,10,5,7,8
6,6,6,8,8,11,10,8,11,9,11,10,9,5,9,6,6,6,9,10,8,10,91,9,9,10,11,6,10,11,8,9,9,10,7,10,7,8,6,10,11,9,11,5,6,7,10,6,8,9,7,7,9,7,7,7,10,11,8,10,11,10,10,10,5,10,8,7,7,6,9,8,11,6,5,8,9,9,10,6,7,5,8,9,7,11,8,10,9,6,8,10,10,8,10,7,9,9,9,91,7,7,8,6,5,91,91,5,10,5,5,8,11,10,9,7,6,7,10,5,6,10,6,7,5,6,10,10,8,10,11,9,8,6,7,10,6,7,10,91,9,11,9,7,8,8,8,9,10,6,7,5,5,11,10,5,10,7,8,11,11,6,7,8,9,8,7,6,10,7,11,7,5,10,9,10,7,11,5,5,8,9,5,8,5,6,8,10,6,7,10,5,5,10,11,11,91,9,9,11,10,11,8,10,11,7,11,5,9,7,7,8,7,8,5,9,10,10,8,8,7,6,7,11,10,10,7,11,8,10,11,9,10,8,10,9,6,10,8,9,10,9,10,8,7,11,6,9,5,6,5,10,5,11,9,5
6,11,11,8,8,6,7,8,8,10,6,8,6,8,10,5,9,8,5,9,10,9,7,5,7,7,11,8,11,7,7,10,7,5,5,7,6,7,8,7,6,6,10,10,6,11,10,9,6,9,8,5,7,9,10,9,10,8,8,11,11,8,7,8,9,10,10,11,9,6,5,8,6,6,10,10,8,6,9,7,9,9,8,6,6,7,5,6,7,7,7,8,7,6,7,8,9,11,11,9,9,7,6,11,11,9,7,6,6,5,7,7,9,11,7,9,9,11,91,7,7,8,6,7,10,8,6,7,10,11,7,10,10,10,5,9,91,5,6,6,7,6,8,6,10,8,9,6,8,11,9,8,8,8,11,9,11,11,8,11,6,6,7,9,91,8,9,10,10,10,7,10,11,11,8,11,10,8,5,9,10,8,11,7,11,7,6,11,9,9,9,10,8,10,9,8,10,7,9,7,8,9,6,10,5,9,11,10,7,6,10,11,6,9,9,7,11,9,9,11,11,9,10,5,6,6,8,7,8,8,9,9,9,11,11,91,5,9,10,10,8,11,11,8,9,5,6,91,8,6,9,7,9,10,7,9
6,8,6,9,10,9,7,7,10,11,6,91,10,8,9,9,6,7,8,5,8,9,8,6,8,5,6,11,9,5,9,6,10,10,7,5,9,11,11,6,9,7,9,5,7,7,6,8,8,8,6,7,91,11,11,7,6,8,9,6,8,10,8,6,11,10,9,10,8,6,9,11,5,11,6,7,9,5,8,8,7,6,9,6,9,6,11,7,11,7,7,9,5,11,7,8,8,11,8,5,5,6,6,10,9,11,10,8,11,11,6,9,7,8,7,91,10,5,11,7,7,11,10,9,8,6,9,8,11,11,7,7,5,8,5,8,7,9,11,9,91,10,5,7,9,11,10,11,5,10,7,8,8,9,11,11,10,10,9,8,7,7,6,10,11,9,8,7,5,11,10,10,8,8,7,11,5,8,7,10,9,8,8,10,10,10,10,6,10,10,11,8,10,10,7,6,8,8,11,10,91,10,11,9,6,10,9,9,9,5,10,9,6,91,10,11,10,9,7,10,10,9,7,11,9,11,11,9,9,9,9,8,10,11,5,5,8,9,9,6,91,10,10,8,11,11,11,6,7,11,9,11,10,6,6,7
5,9,6,8,8,5,8,7,7,7,7,7,8,7,7,6,11,8,7,7,11,7,8,8,8,9,8,7,9,6,7,5,9,11,10,9,7,9,6,11,10,6,7,5,7,10,8,6,8,6,9,9,7,9,11,8,11,10,8,9,11,6,9,5,11,8,7,10,10,7,6,8,10,5,6,10,6,6,5,9,6,8,7,9,5,5,10,11,10,8,11,11,9,8,11,10,7,7,5,8,6,8,9,8,6,8,8,8,9,8,8,8,10,11,8,6,6,10,6,5,9,8,9,11,10,10,10,8,8,8,11,6,10,8,5,6,5,7,7,11,9,11,9,10,5,11,11,10,9,10,10,9,6,8,8,9,10,10,8,8,5,8,9,8,8,8,10,6,10,8,7,9,10,9,5,8,6,11,9,8,11,7,7,8,7,8,9,7,9,7,8,7,7,11,6,6,11,10,8,8,6,10,7,11,7,11,11,11,10,7,9,8,6,6,6,9,11,11,8,5,9,8,11,11,8,9,9,9,11,10,10,10,5,11,7,11,11,10,10,8,8,11,9,7,7,11,10,9,9,8,5,8,8,10,8,5
6,9,8,9,9,7,6,5,7,9,6,11,9,10,11,6,8,11,11,5,7,11,8,7,11,10,7,8,11,5,9,7,5,9,10,7,9,5,8,11,9,7,6,6,6,7,5,7,9,9,8,11,7,9,10,6,5,11,10,9,7,5,8,8,7,91,10,9,5,5,9,5,10,7,8,11,7,8,8,8,6,7,6,91,6,8,10,5,5,9,8,11,5,5,6,11,11,11,11,11,9,9,10,10,11,5,11,6,9,11,8,9,6,6,8,9,11,5,9,6,7,10,5,8,8,9,9,10,9,8,9,9,8,6,5,10,5,9,10,7,10,11,7,11,9,6,11,7,9,11,8,5,6,7,7,7,6,7,11,11,5,6,6,9,8,11,9,7,6,7,8,9,7,9,11,10,9,6,6,8,11,9,8,7,11,9,7,11,8,8,9,11,10,10,11,6,6,5,10,11,9,9,10,11,91,8,9,6,8,7,10,9,7,91,9,11,11,8,8,9,7,8,7,5,5,11,7,10,5,8,7,8,7,7,9,8,11,10,9,10,7,11,7,7,8,8,10,8,7,7,8,9,8,6,8,5
6,6,6,7,11,8,10,11,9,7,8,8,10,8,10,9,6,7,11,6,5,6,7,7,8,8,5,6,10,7,10,7,7,10,6,10,5,5,9,11,9,11,6,9,5,7,5,5,8,10,11,9,9,8,8,9,5,9,10,8,8,8,8,6,7,5,5,9,6,9,91,10,5,11,10,6,6,7,8,8,7,10,10,6,7,5,7,10,11,10,11,8,7,10,8,9,7,91,5,9,9,8,11,9,7,6,6,9,5,8,6,10,8,10,11,8,5,6,5,10,10,5,5,8,5,9,10,5,7,6,10,9,11,11,11,11,8,7,9,5,6,10,7,9,10,7,6,8,11,6,6,7,6,11,10,10,8,8,10,8,9,10,6,5,9,9,10,5,9,10,8,8,8,9,6,9,8,11,11,9,11,6,7,6,11,11,9,10,9,6,11,11,11,91,7,6,7,10,10,7,10,10,6,9,8,10,11,7,8,7,8,11,11,8,9,11,9,6,7,5,7,10,9,7,6,7,11,11,7,8,9,11,8,9,8,8,11,6,11,91,11,8,9,7,8,11,8,10,10,6,6,9,10,11,11,6
6,9,10,91,5,7,8,7,7,5,6,9,10,8,7,8,9,9,8,11,5,5,5,91,11,5,9,5,9,10,6,8,10,8,8,9,8,7,10,6,6,9,8,6,8,7,5,7,10,11,91,6,10,7,8,10,8,11,9,8,7,7,9,11,9,7,10,9,10,11,8,5,8,9,9,11,11,11,7,8,10,8,6,9,6,11,6,5,5,9,11,7,8,8,7,6,7,6,7,10,8,11,8,9,10,7,5,7,7,5,7,9,9,11,8,10,8,9,6,8,9,7,5,9,8,10,5,11,8,8,10,9,8,7,7,6,5,10,8,5,11,8,8,6,10,11,8,8,9,10,6,5,11,8,8,11,9,7,10,10,5,8,11,6,9,10,91,8,9,10,11,11,10,6,10,8,9,10,7,8,10,6,11,7,8,9,4,11,10,8,8,10,9,7,11,8,10,9,8,6,7,7,7,6,11,8,8,8,6,10,91,10,6,9,8,7,6,9,9,9,10,91,11,11,5,9,8,6,8,11,9,10,9,9,8,8,9,6,8,10,6,6,6,9,11,8,5,8,10,9,11,6,6,10,9,10
6,11,7,5,6,7,5,5,11,6,5,7,6,5,10,7,9,91,9,9,11,8,6,5,5,7,9,7,6,10,10,9,7,8,8,9,11,7,10,6,7,7,7,10,9,8,8,11,9,91,11,6,7,10,7,8,8,9,10,6,7,8,7,7,9,9,11,9,9,8,10,10,10,8,8,7,8,7,8,7,8,11,10,10,5,9,6,5,9,9,8,5,5,9,8,6,6,11,8,10,10,9,7,7,6,5,5,8,11,7,11,9,9,8,10,6,9,9,7,9,10,9,8,11,9,8,7,10,6,8,7,6,5,11,11,7,9,6,6,10,7,9,9,8,7,5,5,8,7,9,8,10,11,7,10,9,8,7,9,10,9,6,8,9,11,11,9,11,8,7,91,8,10,9,10,9,9,5,9,11,7,6,10,91,91,8,8,11,10,9,6,8,9,9,7,9,9,7,8,11,11,10,11,9,11,10,8,6,9,8,8,7,9,91,10,5,9,5,6,6,6,10,9,9,9,9,10,5,11,10,10,9,9,9,9,9,11,6,7,10,9,5,9,10,9,10,11,9,6,11,10,7,11,8,11,6
6,8,10,7,10,10,10,6,6,5,5,8,6,9,10,6,7,10,9,8,9,10,5,9,10,8,10,6,11,10,10,7,7,9,9,9,91,8,11,11,8,5,8,6,5,7,5,11,7,5,5,8,10,7,9,9,7,7,7,9,7,11,10,8,9,8,7,7,7,5,7,6,8,6,9,10,8,9,7,11,5,7,8,9,8,10,5,7,5,8,5,6,6,9,8,5,11,10,7,11,11,5,7,11,10,8,10,9,8,11,8,9,7,7,7,5,8,6,6,8,9,7,9,8,6,6,6,7,9,7,8,11,8,10,8,9,9,11,7,11,8,7,5,9,11,10,10,11,7,9,9,11,8,10,7,7,5,6,7,5,8,8,9,10,10,11,7,10,10,7,5,9,5,9,8,5,9,10,7,11,11,10,5,6,10,8,5,8,11,9,8,9,5,9,11,9,9,8,8,8,9,8,11,7,8,8,9,8,11,7,11,7,9,8,9,10,11,7,10,91,11,8,8,11,8,10,7,8,10,6,8,11,11,7,9,10,10,11,11,11,11,11,8,8,10,11,5,11,10,10,11,11,10,8,10,8
6,9,11,11,7,8,8,6,9,9,11,8,9,5,5,11,11,11,8,5,10,7,8,5,8,7,9,4,7,11,10,6,7,7,7,5,8,7,8,5,8,8,5,11,10,91,9,5,7,9,10,8,91,6,8,6,8,11,10,8,7,9,8,8,9,5,10,6,8,9,9,9,10,10,7,7,9,9,6,9,11,11,8,5,7,7,9,7,9,7,5,10,11,10,10,11,10,91,6,6,7,5,6,8,7,10,9,11,10,8,8,9,9,10,11,7,7,8,8,10,7,9,11,7,11,11,9,9,10,5,8,6,8,5,7,5,6,5,6,9,10,6,9,7,7,6,7,10,9,9,5,11,8,6,10,11,8,5,10,6,11,8,7,9,6,7,11,9,10,11,7,11,11,9,9,8,10,7,11,8,7,8,9,10,10,6,5,8,10,8,7,11,6,8,10,10,5,11,11,6,8,7,8,9,9,9,5,11,7,8,10,7,8,10,10,5,9,10,8,8,10,5,8,9,11,10,11,9,9,9,5,8,10,9,9,8,9,10,11,8,10,10,9,7,8,6,8,10,11,7,11,9,6,5,7,9
5,7,7,9,10,11,6,4,11,5,5,8,9,9,5,11,9,10,11,7,9,7,5,11,11,7,11,11,9,8,10,8,10,10,9,9,5,6,8,9,9,7,10,6,5,7,9,11,9,8,5,5,5,7,11,10,10,9,9,11,6,6,10,11,9,7,7,8,9,5,7,5,6,10,10,7,10,6,8,10,10,10,10,8,11,7,10,6,8,10,10,8,5,8,8,6,8,10,9,6,5,9,8,10,8,8,7,8,8,7,5,11,6,10,8,7,5,7,6,9,8,8,10,6,8,5,7,5,9,11,8,11,8,9,5,8,8,7,91,5,8,91,10,8,8,6,11,8,11,11,8,8,6,7,7,11,11,10,8,11,6,9,5,7,10,10,7,5,5,9,91,9,8,10,11,9,11,11,8,9,10,11,9,6,9,8,6,9,11,8,11,8,8,5,8,91,9,10,6,5,5,7,6,9,6,9,8,9,9,10,10,8,6,7,8,8,11,7,8,9,11,9,9,5,6,9,6,8,7,9,8,11,10,8,8,7,9,91,10,7,6,10,10,8,5,6,10,10,8,9,8,7,7,7,9,10
5,9,10,91,10,5,8,8,6,7,8,9,5,9,8,8,8,5,7,9,6,7,10,11,6,7,7,6,5,10,11,6,5,9,8,7,5,8,10,5,10,7,10,10,7,8,7,7,7,11,8,10,11,8,9,6,5,9,9,91,11,9,8,9,9,6,6,10,8,6,8,10,6,7,6,5,5,7,9,8,10,8,7,9,10,7,10,8,11,8,8,8,11,91,11,8,7,91,7,5,10,6,5,11,11,7,11,8,10,11,8,7,7,10,6,5,9,7,8,7,6,10,5,11,11,5,7,8,6,11,11,8,8,5,9,5,11,6,6,10,11,91,5,5,7,6,9,5,8,5,7,10,91,8,8,9,7,8,8,6,5,10,9,8,6,11,91,9,7,5,7,7,6,10,9,7,11,10,11,7,9,11,7,9,7,9,9,11,10,7,7,6,10,11,11,8,6,7,9,9,11,7,9,5,9,11,10,6,8,6,8,8,10,7,5,10,11,9,8,7,11,9,10,8,10,7,7,11,6,10,9,9,11,7,9,10,10,6,8,8,8,6,9,9,11,10,11,10,7,7,91,10,5,11,10,11
5,8,5,7,10,9,11,8,8,7,8,10,11,7,5,10,5,8,6,5,5,8,8,9,5,9,9,7,8,6,5,7,11,9,8,11,9,6,5,6,7,7,9,6,11,5,8,10,11,5,9,9,9,11,10,10,6,10,10,7,9,11,10,5,6,9,11,5,7,9,8,9,8,10,9,10,11,9,6,9,11,8,9,6,10,8,9,8,5,11,8,8,11,10,8,11,10,10,9,6,8,9,9,9,10,7,7,10,11,7,5,5,7,5,5,9,7,8,8,7,9,7,5,11,91,11,8,7,11,10,10,6,9,10,91,9,8,9,8,11,10,11,9,8,10,7,10,11,9,9,10,9,11,10,10,5,9,10,7,7,11,9,9,91,7,7,91,7,6,9,7,10,9,8,7,7,7,7,7,7,10,10,6,9,6,8,8,6,11,8,10,6,5,8,8,5,9,9,9,5,11,10,11,10,11,91,8,8,7,11,8,11,8,10,10,8,6,91,10,6,8,7,7,9,9,11,10,5,11,7,9,10,11,9,10,11,11,6,9,6,8,8,10,7,5,11,7,91,9,6,9,11,9,7,8,8
6,9,9,8,9,7,9,8,8,10,8,11,8,11,10,8,9,10,9,8,10,7,8,8,8,7,9,6,10,9,9,6,91,11,10,11,5,10,7,8,7,10,11,8,9,8,6,10,8,6,10,8,8,7,6,9,9,6,5,8,11,6,7,7,8,7,9,10,10,8,9,7,5,10,8,11,10,6,8,6,6,5,6,10,11,10,7,9,8,5,8,11,8,9,6,9,10,5,5,6,7,10,6,8,7,9,6,10,11,6,7,11,6,11,7,9,9,7,7,11,8,9,8,8,10,10,11,10,9,9,10,9,7,10,7,10,10,10,9,9,7,8,8,10,9,9,9,11,10,11,9,6,8,5,7,9,10,6,8,6,6,11,11,7,91,9,9,8,9,5,7,91,11,7,8,8,5,8,8,11,6,11,11,11,5,6,9,11,9,6,10,6,7,10,7,11,9,8,7,11,8,8,8,10,7,10,10,11,6,11,7,9,9,11,9,5,5,8,8,8,9,9,11,11,7,6,11,10,11,9,11,10,7,11,8,11,10,9,8,7,9,11,7,6,9,6,6,8,11,6,10,5,7,6,8,7
7,9,5,7,7,10,7,10,11,7,8,5,10,9,7,9,11,10,7,11,8,7,11,5,11,11,10,9,8,5,8,7,9,10,9,8,7,9,91,6,7,9,10,7,8,6,7,6,8,8,6,5,7,7,8,10,7,10,8,8,10,7,10,5,5,7,8,5,9,6,5,11,11,6,10,8,6,9,9,8,8,5,6,10,11,8,11,11,11,8,6,5,8,7,5,7,6,11,10,10,10,5,8,8,9,9,8,9,8,8,11,10,8,91,11,8,11,8,10,8,11,8,8,11,9,7,11,11,11,8,11,9,7,10,6,8,11,11,9,8,8,11,9,8,8,6,9,11,7,10,9,10,7,11,9,8,8,11,11,7,10,7,9,10,9,8,6,8,7,7,8,5,7,8,6,11,9,8,5,10,11,8,6,7,6,8,9,11,91,8,10,11,7,7,10,11,9,10,9,91,11,9,5,10,10,9,7,8,9,6,9,7,7,8,8,8,10,11,8,8,8,9,6,6,9,9,6,6,5,9,6,6,7,10,10,8,9,9,6,9,10,7,8,7,7,9,9,10,10,10,6,10,10,8,9,5
6,9,10,11,11,8,11,9,11,9,9,8,6,11,7,6,8,7,10,8,9,6,5,10,7,9,5,6,11,5,5,7,9,8,6,9,10,10,5,9,7,7,7,10,8,11,9,7,10,8,5,5,7,8,8,10,9,10,7,8,5,8,7,9,9,5,6,6,8,6,5,9,7,8,9,9,7,10,8,11,10,8,7,5,6,7,10,7,10,9,7,9,11,7,5,8,8,10,7,9,10,8,9,8,11,10,11,7,8,7,11,6,7,9,10,8,8,10,7,11,10,11,9,8,6,10,5,9,11,10,10,9,7,8,10,8,11,8,9,8,8,10,9,7,10,9,8,7,8,9,7,10,9,7,5,11,10,8,9,9,9,11,8,7,6,7,6,6,10,7,91,10,7,10,10,8,9,9,11,6,11,5,7,8,11,8,6,10,9,5,7,9,10,11,10,11,8,8,9,9,9,10,11,10,7,9,11,6,7,11,7,5,5,10,9,10,7,10,6,10,6,8,7,6,11,9,10,8,5,9,10,11,9,6,10,9,11,11,11,8,10,8,91,6,9,8,10,8,10,6,10,8,11,11,11,10
8,9,11,7,8,10,6,11,9,5,5,91,9,8,7,11,11,5,10,8,11,7,8,10,5,8,6,9,9,10,9,11,10,5,9,9,8,8,10,7,10,8,9,6,6,11,7,11,11,9,6,5,6,6,8,8,9,10,7,7,9,11,6,5,11,10,9,8,9,7,8,7,10,10,7,8,7,9,9,9,8,10,10,6,10,5,9,5,10,6,9,5,7,6,7,8,7,8,5,7,9,11,11,9,7,8,7,5,9,10,11,8,5,10,9,10,9,8,9,6,11,10,8,6,10,9,8,8,6,5,10,8,8,10,8,9,6,5,8,8,7,7,11,10,5,5,11,9,10,5,5,8,7,10,9,6,5,91,9,9,8,10,11,7,9,6,5,10,6,7,10,10,5,9,8,7,9,10,9,11,9,7,9,10,10,9,8,11,6,7,10,8,91,7,6,6,8,7,8,5,7,9,9,8,7,8,11,7,7,11,10,8,6,8,10,10,8,6,8,10,8,91,10,9,5,9,6,8,9,8,10,9,9,9,7,6,8,8,7,10,5,8,91,8,10,11,11,9,7,7,7,10,11,10,9,7
6,91,7,6,9,8,8,6,10,10,8,5,6,8,10,7,7,10,8,9,10,8,9,9,7,9,9,7,6,5,6,9,5,6,6,7,7,6,9,91,5,9,9,9,9,10,10,8,5,9,10,7,10,8,5,6,5,8,6,9,7,10,11,8,10,5,10,6,5,9,8,7,9,11,6,9,7,7,7,9,9,11,9,10,10,10,10,8,8,7,8,5,9,11,8,10,5,11,10,11,9,9,5,9,10,10,10,7,10,5,10,10,11,11,8,5,7,7,8,9,9,9,10,10,6,11,9,9,9,9,6,10,9,8,9,6,8,8,10,9,9,6,7,8,91,5,6,10,9,7,10,5,8,8,6,9,7,91,11,8,11,7,7,8,10,8,5,9,10,9,11,4,6,10,7,11,11,10,9,10,8,7,8,9,10,6,11,11,10,10,9,9,9,91,9,91,8,10,8,10,11,9,8,8,10,11,6,6,7,10,11,7,10,7,10,6,7,9,8,9,5,7,8,9,5,10,8,7,8,6,8,6,6,8,11,8,10,9,8,10,6,8,9,9,11,11,9,10,10,8,7,6,8,8,7,7
7,9,9,11,8,6,8,7,9,5,8,10,9,11,11,11,9,9,6,6,10,91,11,10,5,9,9,9,6,7,10,11,5,10,8,6,7,10,8,7,7,10,5,8,10,7,9,7,7,11,10,9,9,9,8,9,7,5,5,10,7,7,7,11,11,11,8,7,8,10,10,10,7,7,9,11,10,10,10,11,7,9,10,6,8,9,7,11,9,6,10,9,9,6,7,6,7,9,8,5,7,8,6,6,6,11,10,11,11,6,5,8,10,11,10,10,11,5,6,11,8,5,6,8,9,8,9,7,9,6,11,11,10,8,10,8,10,11,11,7,7,6,5,6,9,6,9,10,7,8,10,9,9,10,10,5,8,5,6,8,7,6,10,8,8,10,11,10,9,8,9,8,10,10,11,5,6,11,9,10,8,7,8,9,10,9,5,7,8,10,11,9,9,8,8,6,9,10,10,6,6,11,6,9,91,11,9,7,11,10,11,11,9,5,8,9,9,5,6,11,8,10,6,10,5,7,10,5,9,8,11,10,8,10,9,9,10,8,8,9,9,9,5,5,6,7,8,11,10,8,8,11,11,8,9,9
7,7,7,7,7,7,7,8,8,8,11,10,10,6,11,8,7,6,9,8,7,8,8,7,9,10,7,9,10,6,9,91,9,9,7,7,11,9,10,6,8,10,8,8,9,8,9,11,9,10,9,6,6,6,5,6,5,6,6,7,11,11,11,11,10,10,9,9,7,7,11,7,6,11,5,9,7,11,5,11,9,9,9,7,10,9,7,8,9,11,9,9,10,8,9,7,7,10,7,8,9,9,11,9,7,10,7,11,11,8,6,9,10,7,6,9,5,10,7,6,11,7,8,8,11,9,9,8,10,8,9,11,7,8,8,6,8,8,7,10,5,8,6,5,9,9,8,9,8,7,8,8,5,11,8,9,9,7,9,9,9,11,11,8,8,10,11,6,5,10,11,7,7,7,10,6,6,10,10,11,11,6,8,10,11,8,7,10,9,8,11,10,8,11,10,11,9,8,7,9,9,5,10,8,10,8,9,10,7,91,11,7,10,9,11,6,7,10,10,6,8,10,8,8,10,9,7,6,9,9,8,8,8,10,8,11,91,5,5,7,8,8,11,10,9,9,6,7,9,9,8,11,9,11,7,10
8,7,9,10,9,5,9,6,9,9,6,8,9,9,8,10,9,9,9,10,10,10,6,10,10,7,11,7,8,8,11,8,8,9,6,10,6,11,9,11,9,8,6,7,8,10,5,10,10,5,7,11,8,7,11,7,5,7,10,9,7,9,11,5,10,5,6,8,10,6,9,8,9,11,5,10,5,10,9,8,7,10,6,7,10,9,8,10,8,9,6,7,9,10,9,7,9,6,5,8,91,5,10,8,91,9,9,8,9,9,7,9,8,9,7,6,9,10,8,9,6,10,11,11,8,9,5,10,8,6,5,10,10,7,5,9,11,8,9,5,5,11,7,11,8,9,7,8,11,7,10,11,9,10,10,5,8,9,10,9,8,7,9,8,7,8,9,7,9,10,7,9,9,11,11,11,91,11,9,5,7,10,10,9,7,8,5,91,8,6,9,9,11,10,6,7,6,9,7,8,7,10,7,7,7,9,10,9,9,8,7,10,6,7,6,8,11,10,10,9,11,8,11,10,7,5,10,5,9,8,8,10,10,10,9,8,9,8,10,7,11,8,8,11,7,5,10,9,9,6,7,7,7,6,8,8
6,7,9,8,11,11,9,7,6,11,10,10,10,10,6,10,8,9,9,5,8,11,9,8,6,10,10,7,11,7,8,6,7,8,7,8,10,5,6,9,6,7,9,6,5,8,9,6,6,9,11,9,7,4,10,7,5,8,7,7,9,7,9,9,8,10,6,6,10,11,11,9,10,7,8,11,6,5,91,8,6,10,6,7,6,9,8,7,7,6,5,11,9,8,9,8,6,9,9,6,6,7,8,9,6,7,7,11,8,7,8,9,7,7,9,7,11,9,7,6,7,9,6,5,5,9,10,8,10,5,7,11,11,9,11,9,8,9,6,7,7,10,8,6,8,6,6,7,8,7,10,7,8,10,9,9,9,10,8,7,7,7,11,9,9,11,7,5,7,9,8,6,10,91,5,11,6,6,8,7,7,11,10,7,9,7,9,6,11,8,8,9,9,10,11,7,8,5,7,6,8,11,10,11,10,5,10,8,5,8,10,8,7,9,9,11,7,8,8,11,11,10,5,8,9,91,8,9,8,5,10,11,8,9,10,11,9,8,10,11,11,7,10,5,7,9,8,7,11,10,7,9,91,8,7,10
8,6,8,8,11,10,11,10,6,5,9,7,8,10,6,9,11,8,8,10,7,11,7,5,5,7,6,5,7,7,8,11,8,7,9,10,7,10,10,8,10,8,8,6,9,7,9,7,7,91,9,7,11,10,11,7,9,10,8,10,7,7,7,9,6,11,8,9,6,10,9,6,5,7,5,6,11,11,8,10,8,8,5,9,6,7,10,9,6,10,9,6,6,5,10,10,10,9,5,7,5,8,9,10,10,7,8,9,9,5,7,8,7,10,5,10,7,6,8,9,11,5,8,10,7,6,10,11,11,10,11,8,5,10,9,9,9,9,7,10,8,7,5,11,10,8,11,7,9,9,9,10,8,11,7,10,5,7,11,9,9,5,7,11,6,9,6,10,5,9,10,6,5,5,10,6,9,9,8,9,10,9,10,9,9,9,6,11,11,5,7,7,10,10,6,11,10,5,9,9,10,10,11,10,9,10,7,8,7,8,8,7,5,11,8,9,9,8,8,10,8,8,6,6,9,7,5,11,11,11,11,8,6,8,10,7,5,7,7,8,7,7,7,10,7,7,8,5,8,8,10,11,9,11,6,7
6,7,7,7,10,9,10,11,7,7,11,11,11,7,8,7,8,7,10,6,10,11,11,5,7,7,10,10,6,8,5,7,10,7,6,8,11,9,10,8,8,8,9,8,6,7,10,10,9,6,10,6,5,9,10,7,8,6,9,7,6,10,11,7,8,8,9,10,9,5,8,9,5,9,10,10,10,7,5,11,9,9,6,8,9,6,8,7,7,7,9,5,11,9,5,10,9,10,7,6,5,8,9,8,5,10,8,9,8,8,10,10,8,9,9,9,9,9,8,5,7,6,10,6,6,6,7,8,9,11,11,10,7,11,10,10,11,8,6,8,11,9,9,7,10,11,11,8,10,10,8,9,5,10,9,11,10,7,11,10,9,7,5,8,8,7,6,10,8,7,8,5,9,9,8,10,10,5,6,91,10,8,11,8,10,6,7,9,8,91,8,8,6,7,10,11,10,7,11,6,11,10,7,10,9,8,11,8,11,11,10,9,5,7,8,9,9,8,9,7,7,10,11,8,9,7,11,6,7,6,10,8,6,5,9,9,8,11,11,91,5,8,8,8,8,7,11,7,11,9,5,10,11,7,7,9
